COMPUTED FEM SOLUTION:
phi[0] = -4.83644
phi[1] = -4.80645
phi[2] = -4.77647
phi[3] = -4.74651
phi[4] = -4.71656
phi[5] = -4.68663
phi[6] = -4.65671
phi[7] = -4.62681
phi[8] = -4.59692
phi[9] = -4.56705
phi[10] = -4.53719
phi[11] = -4.50735
phi[12] = -4.47752
phi[13] = -4.44771
phi[14] = -4.41792
phi[15] = -4.38814
phi[16] = -4.35838
phi[17] = -4.32864
phi[18] = -4.29891
phi[19] = -4.2692
phi[20] = -4.23951
phi[21] = -4.20984
phi[22] = -4.18018
phi[23] = -4.15054
phi[24] = -4.12092
phi[25] = -4.09133
phi[26] = -4.06175
phi[27] = -4.03219
phi[28] = -4.00265
phi[29] = -3.97313
phi[30] = -3.94364
phi[31] = -3.91416
phi[32] = -3.88471
phi[33] = -3.85529
phi[34] = -3.82588
phi[35] = -3.7965
phi[36] = -3.76715
phi[37] = -3.73782
phi[38] = -3.70852
phi[39] = -3.67925
phi[40] = -3.65
phi[41] = -3.62079
phi[42] = -3.5916
phi[43] = -3.56245
phi[44] = -3.53332
phi[45] = -3.50423
phi[46] = -3.47518
phi[47] = -3.44616
phi[48] = -3.41717
phi[49] = -3.38823
phi[50] = -3.35932
phi[51] = -3.33045
phi[52] = -3.30162
phi[53] = -3.27284
phi[54] = -3.2441
phi[55] = -3.21541
phi[56] = -3.18677
phi[57] = -3.15817
phi[58] = -3.12963
phi[59] = -3.10114
phi[60] = -3.0727
phi[61] = -3.04433
phi[62] = -3.01601
phi[63] = -2.98776
phi[64] = -2.95957
phi[65] = -2.93145
phi[66] = -2.9034
phi[67] = -2.87542
phi[68] = -2.84752
phi[69] = -2.8197
phi[70] = -2.79197
phi[71] = -2.76432
phi[72] = -2.73677
phi[73] = -2.70931
phi[74] = -2.68195
phi[75] = -2.6547
phi[76] = -2.62756
phi[77] = -2.60055
phi[78] = -2.57365
phi[79] = -2.54689
phi[80] = -2.52027
phi[81] = -2.4938
phi[82] = -2.46749
phi[83] = -2.44134
phi[84] = -2.41537
phi[85] = -2.38959
phi[86] = -2.36403
phi[87] = -2.33868
phi[88] = -2.31357
phi[89] = -2.28873
phi[90] = -2.26418
phi[91] = -2.23994
phi[92] = -2.21606
phi[93] = -2.19259
phi[94] = -2.16956
phi[95] = -2.14708
phi[96] = -2.12525
phi[97] = -2.10424
phi[98] = -2.08436
phi[99] = -2.06627
phi[100] = -2.05156
phi[101] = -2.03499
phi[102] = -2.0172
phi[103] = -1.99829
phi[104] = -1.97849
phi[105] = -1.95795
phi[106] = -1.93679
phi[107] = -1.91508
phi[108] = -1.8929
phi[109] = -1.87027
phi[110] = -1.84725
phi[111] = -1.82385
phi[112] = -1.8001
phi[113] = -1.77603
phi[114] = -1.75164
phi[115] = -1.72695
phi[116] = -1.70198
phi[117] = -1.67673
phi[118] = -1.65122
phi[119] = -1.62545
phi[120] = -1.59943
phi[121] = -1.57317
phi[122] = -1.54667
phi[123] = -1.51993
phi[124] = -1.49297
phi[125] = -1.46578
phi[126] = -1.43837
phi[127] = -1.41074
phi[128] = -1.38289
phi[129] = -1.35484
phi[130] = -1.32657
phi[131] = -1.29809
phi[132] = -1.2694
phi[133] = -1.24051
phi[134] = -1.21141
phi[135] = -1.1821
phi[136] = -1.15259
phi[137] = -1.12288
phi[138] = -1.09296
phi[139] = -1.06284
phi[140] = -1.03252
phi[141] = -1.00199
phi[142] = -0.971255
phi[143] = -0.940315
phi[144] = -0.909169
phi[145] = -0.877816
phi[146] = -0.846254
phi[147] = -0.814482
phi[148] = -0.782498
phi[149] = -0.750301
phi[150] = -0.71789
phi[151] = -0.685261
phi[152] = -0.652413
phi[153] = -0.619343
phi[154] = -0.586048
phi[155] = -0.552527
phi[156] = -0.518775
phi[157] = -0.48479
phi[158] = -0.450567
phi[159] = -0.416104
phi[160] = -0.381396
phi[161] = -0.346439
phi[162] = -0.311229
phi[163] = -0.27576
phi[164] = -0.240027
phi[165] = -0.204025
phi[166] = -0.167748
phi[167] = -0.131189
phi[168] = -0.0943414
phi[169] = -0.0571977
phi[170] = -0.01975
phi[171] = 0.0180102
phi[172] = 0.0560922
phi[173] = 0.094506
phi[174] = 0.133262
phi[175] = 0.172373
phi[176] = 0.21185
phi[177] = 0.251709
phi[178] = 0.291964
phi[179] = 0.332632
phi[180] = 0.373731
phi[181] = 0.415283
phi[182] = 0.45731
phi[183] = 0.499838
phi[184] = 0.542895
phi[185] = 0.586515
phi[186] = 0.630735
phi[187] = 0.675599
phi[188] = 0.721157
phi[189] = 0.76747
phi[190] = 0.814609
phi[191] = 0.862662
phi[192] = 0.911738
phi[193] = 0.961977
phi[194] = 1.01356
phi[195] = 1.06675
phi[196] = 1.12193
phi[197] = 1.17969
phi[198] = 1.24115
phi[199] = 1.3086
phi[200] = 1.38762
phi[201] = 1.46027
phi[202] = 1.51976
phi[203] = 1.57431
phi[204] = 1.62615
phi[205] = 1.67621
phi[206] = 1.72495
phi[207] = 1.77266
phi[208] = 1.81956
phi[209] = 1.86577
phi[210] = 1.91141
phi[211] = 1.95655
phi[212] = 2.00127
phi[213] = 2.04561
phi[214] = 2.08961
phi[215] = 2.13332
phi[216] = 2.17675
phi[217] = 2.21995
phi[218] = 2.26293
phi[219] = 2.30571
phi[220] = 2.34831
phi[221] = 2.39074
phi[222] = 2.43303
phi[223] = 2.47516
phi[224] = 2.51717
phi[225] = 2.55906
phi[226] = 2.60084
phi[227] = 2.64251
phi[228] = 2.68409
phi[229] = 2.72558
phi[230] = 2.76698
phi[231] = 2.80831
phi[232] = 2.84956
phi[233] = 2.89074
phi[234] = 2.93186
phi[235] = 2.97292
phi[236] = 3.01392
phi[237] = 3.05487
phi[238] = 3.09576
phi[239] = 3.13661
phi[240] = 3.17742
phi[241] = 3.21818
phi[242] = 3.2589
phi[243] = 3.29959
phi[244] = 3.34024
phi[245] = 3.38086
phi[246] = 3.42145
phi[247] = 3.462
phi[248] = 3.50253
phi[249] = 3.54303
phi[250] = 3.5835
phi[251] = 3.62396
phi[252] = 3.66438
phi[253] = 3.70479
phi[254] = 3.74518
phi[255] = 3.78555
phi[256] = 3.82589
phi[257] = 3.86622
phi[258] = 3.90654
phi[259] = 3.94684
phi[260] = 3.98712
phi[261] = 4.02739
phi[262] = 4.06764
phi[263] = 4.10789
phi[264] = 4.14812
phi[265] = 4.18834
phi[266] = 4.22854
phi[267] = 4.26874
phi[268] = 4.30892
phi[269] = 4.3491
phi[270] = 4.38927
phi[271] = 4.42943
phi[272] = 4.46958
phi[273] = 4.50972
phi[274] = 4.54985
phi[275] = 4.58998
phi[276] = 4.6301
phi[277] = 4.67021
phi[278] = 4.71031
phi[279] = 4.75041
phi[280] = 4.7905
phi[281] = 4.83059
phi[282] = 4.87067
phi[283] = 4.91075
phi[284] = 4.95082
phi[285] = 4.99089
phi[286] = 5.03095
phi[287] = 5.071
phi[288] = 5.11105
phi[289] = 5.1511
phi[290] = 5.19114
phi[291] = 5.23118
phi[292] = 5.27122
phi[293] = 5.31124
phi[294] = 5.35127
phi[295] = 5.39129
phi[296] = 5.43131
phi[297] = 5.47132
phi[298] = 5.51133
phi[299] = 5.55134
phi[300] = 5.59134
phi[301] = -4.83643
phi[302] = -4.80644
phi[303] = -4.77646
phi[304] = -4.7465
phi[305] = -4.71655
phi[306] = -4.68662
phi[307] = -4.6567
phi[308] = -4.6268
phi[309] = -4.59691
phi[310] = -4.56704
phi[311] = -4.53718
phi[312] = -4.50734
phi[313] = -4.47751
phi[314] = -4.4477
phi[315] = -4.41791
phi[316] = -4.38813
phi[317] = -4.35837
phi[318] = -4.32863
phi[319] = -4.2989
phi[320] = -4.26919
phi[321] = -4.2395
phi[322] = -4.20982
phi[323] = -4.18017
phi[324] = -4.15053
phi[325] = -4.12091
phi[326] = -4.09131
phi[327] = -4.06173
phi[328] = -4.03217
phi[329] = -4.00264
phi[330] = -3.97312
phi[331] = -3.94362
phi[332] = -3.91415
phi[333] = -3.8847
phi[334] = -3.85527
phi[335] = -3.82587
phi[336] = -3.79649
phi[337] = -3.76713
phi[338] = -3.73781
phi[339] = -3.70851
phi[340] = -3.67923
phi[341] = -3.64999
phi[342] = -3.62077
phi[343] = -3.59158
phi[344] = -3.56243
phi[345] = -3.5333
phi[346] = -3.50421
phi[347] = -3.47516
phi[348] = -3.44614
phi[349] = -3.41715
phi[350] = -3.3882
phi[351] = -3.3593
phi[352] = -3.33043
phi[353] = -3.3016
phi[354] = -3.27282
phi[355] = -3.24408
phi[356] = -3.21538
phi[357] = -3.18674
phi[358] = -3.15814
phi[359] = -3.1296
phi[360] = -3.1011
phi[361] = -3.07267
phi[362] = -3.04429
phi[363] = -3.01597
phi[364] = -2.98772
phi[365] = -2.95953
phi[366] = -2.9314
phi[367] = -2.90335
phi[368] = -2.87537
phi[369] = -2.84747
phi[370] = -2.81965
phi[371] = -2.79191
phi[372] = -2.76426
phi[373] = -2.73671
phi[374] = -2.70925
phi[375] = -2.68189
phi[376] = -2.65463
phi[377] = -2.62749
phi[378] = -2.60047
phi[379] = -2.57358
phi[380] = -2.54681
phi[381] = -2.52018
phi[382] = -2.49371
